,Vehicle,0.10%,0.50%,1.00%,5.00%,Vehicle,0.50%,1.00%,Total
,QD,QD,QD,QD,QD,TID,TID,TID,
Number (%) of subjects,n (%),n (%),n (%),n (%),n (%),n (%),n (%),n (%),n (%)
Subjects evaluable for adverse events,39,39,36,39,36,36,36,39,300
Number of adverse events,28,24,19,23,13,27,13,19,166
Subjects with adverse events,18 (46.2),17 (43.6),11 (30.6),12 (30.8),10 (27.8),17 (47.2),9 (25.0) ,14 (35.9),108 (36.0)
Subjects with severe adverse events,0,0,0,0,0,1 (2.8),1 (2.8),0,2 (0.7)
Subject discontinued from study due to adverse events (a),3 (7.7),2 (5.1),1 (2.8),2 (5.1),2 (5.6),5 (13.9),1 (2.8),0,16 (3.9)
Subjects discontinued study drug due to AE and continue study (b),0,2 (5.1),0,0,0,1 (2.8),0,0,3 (1.0)
Subjects with temporary discontinuation due to adverse events,3 (7.7),1 (2.6),0,0,1 (2.8),0,0,0,5 (1.8)
