ystem Organ Class,Adverse Event (MedDRA v11.0 Preferred Term),Varenicline (N=353),Placebo (N=350),Varenicline Treatment-Related,Placebo Treatment-Related
Gastrointestinal disorders,Nausea,104 (29.5%),30 (8.6%),98 (27.8%),26 (7.4%)
,Vomiting,29 (8.2%),4 (1.1%),24 (6.8%),3 (0.9%)
,Constipation,23 (6.5%),7 (2.0%),18 (5.1%),5 (1.4%)
,Diarrhea,22 (6.2%),18 (5.1%),16 (4.5%),10 (2.9%)
,Dyspepsia,19 (5.4%),12 (3.4%),14 (4.0%),8 (2.3%)
,"Abdominal pain, upper",15 (4.2%),9 (2.6%),13 (3.7%),7 (2.0%)
,Dry mouth,13 (3.7%),7 (2.0%),11 (3.1%),6 (1.7%)
,Flatulence,8 (2.3%),7 (2.0%),8 (2.3%),7 (2.0%)
,Abdominal distension,7 (2.0%),3 (0.9%),7 (2.0%),3 (0.9%)
Psychiatric disorders,Insomnia,42 (11.9%),23 (6.6%),34 (9.6%),17 (4.9%)
,Abnormal dreams,28 (7.9%),6 (1.7%),28 (7.9%),6 (1.7%)
,Sleep disorder,12 (3.4%),5 (1.4%),11 (3.1%),5 (1.4%)
,Nicotine dependence,9 (2.5%),5 (1.4%),0 (0%),0 (0%)
Nervous system disorders,Headache,45 (12.7%),39 (11.1%),36 (10.2%),28 (8.0%)
,Dizziness,22 (6.2%),16 (4.6%),17 (4.8%),10 (2.9%)
,Dysgeusia,16 (4.5%),8 (2.3%),16 (4.5%),7 (2.0%)
General disorders and administration site,Chest pain,9 (2.5%),8 (2.3%),0 (0%),0 (0%)
,Fatigue,25 (7.1%),14 (4.0%),18 (5.1%),8 (2.3%)
,Edema peripheral,7 (2.0%),4 (1.1%),0 (0%),0 (0%)
Musculoskeletal and connective tissue,Back pain,14 (4.0%),9 (2.6%),0 (0%),0 (0%)
"Respiratory, thoracic and mediastinal",Dyspnea,10 (2.8%),4 (1.1%),0 (0%),0 (0%)
Skin and subcutaneous tissue disorders,Hyperhidrosis,7 (2.0%),5 (1.4%),0 (0%),0 (0%)
Cardiac disorders,Angina pectoris,13 (3.7%),7 (2.0%),0 (0%),0 (0%)
